utterance,intent,category,length
mana dapat ambil pin akun online,recover_password,ACCOUNT,6
butuh bantu atur ulang kunci akun,recover_password,ACCOUNT,6
bisa cerita lebih banyak pulih kata sandi,recover_password,ACCOUNT,7
bantu ambil akun online pwd,recover_password,ACCOUNT,5
bisa beri informasi kata sandi lupa,recover_password,ACCOUNT,6
punya masalah reset kunci akses,recover_password,ACCOUNT,5
cara ambil kunci akun guna,recover_password,ACCOUNT,5
bantu pulih akun pwd,recover_password,ACCOUNT,4
butuh informasi pulih kata sandi,recover_password,ACCOUNT,5
tidak tahu buat apa pulih kata sandi,recover_password,ACCOUNT,7
ingin atur ulang kunci akun guna,recover_password,ACCOUNT,6
tidak tahu buat apa atur ulang pin akun online,recover_password,ACCOUNT,9
bagaimana cara dapat informasi ambil kode pin,recover_password,ACCOUNT,7
bagaimana bisa dapat informasi kata sandi lupa,recover_password,ACCOUNT,7
bisa pulih umpan akun guna,recover_password,ACCOUNT,5
bagaimana cara atur ulang kode pin akun,recover_password,ACCOUNT,7
cerita kata sandi lupa,recover_password,ACCOUNT,4
bisa bantu lapor masalah daftar,registration_problems,ACCOUNT,5
butuh bantu kena daftar akun,registration_problems,ACCOUNT,5
ingin bantu lapor masalah daftar,registration_problems,ACCOUNT,5
ingin bantu lapor salah daftar,registration_problems,ACCOUNT,5
tidak daftar bantu beri tahu salah daftar,registration_problems,ACCOUNT,7
tidak lapor masalah daftar,registration_problems,ACCOUNT,4
mana dapat informasi masalah daftar,registration_problems,ACCOUNT,5
masalah daftar,registration_problems,ACCOUNT,2
perlu informasi masalah daftar,registration_problems,ACCOUNT,4
lapor masalah daftar,registration_problems,ACCOUNT,3
tidak tahu harus laku informasi salah daftar,registration_problems,ACCOUNT,7
milik masalah kutuk,registration_problems,ACCOUNT,3
tidak daftar ingin bantu informasi suatu masalah,registration_problems,ACCOUNT,7
salah daftar akun,registration_problems,ACCOUNT,3
bantu beri tahu masalah daftar,registration_problems,ACCOUNT,5
mana lapor masalah daftar,registration_problems,ACCOUNT,4
dapat beri tahu tentang masalah daftar,registration_problems,ACCOUNT,6
coba lapor masalah daftar,registration_problems,ACCOUNT,4
bisa bantu informasi masalah daftar,registration_problems,ACCOUNT,5
apa perlu laku beri tahu masalah daftar,registration_problems,ACCOUNT,7
bisa lapor masalah daftar,registration_problems,ACCOUNT,4
beri tahu masalah daftar online,registration_problems,ACCOUNT,5
ingin bantu daftar akun,registration_problems,ACCOUNT,4
tidak daftar bagaimana bisa beri tahu masalah daftar,registration_problems,ACCOUNT,8
tidak tahu buat apa lapor masalah daftar,registration_problems,ACCOUNT,7
coba lapor salah daftar,registration_problems,ACCOUNT,4
tidak tahu bagaimana dapat lapor masalah daftar,registration_problems,ACCOUNT,7
butuh bantu daftar online,registration_problems,ACCOUNT,4
bagaimana cara lapor masalah daftar,registration_problems,ACCOUNT,5
butuh dukung daftar akun,registration_problems,ACCOUNT,4
milik masalah coba daftar,registration_problems,ACCOUNT,4
coba beri tahu masalah daftar,registration_problems,ACCOUNT,5
milik masalah daftar akun,registration_problems,ACCOUNT,4
mana informasi masalah daftar,registration_problems,ACCOUNT,4
mana informasi salah daftar,registration_problems,ACCOUNT,4
butuh dukung daftar online,registration_problems,ACCOUNT,4
bagaimana bisa lapor masalah daftar,registration_problems,ACCOUNT,5
mana bisa lapor masalah daftar,registration_problems,ACCOUNT,5
butuh bantu lapor masalah daftar,registration_problems,ACCOUNT,5
perlu lapor masalah daftar,registration_problems,ACCOUNT,4
butuh bantu beri tahu masalah daftar sial,registration_problems,ACCOUNT,7
tidak menandatangani apa harus laku lapor salah,registration_problems,ACCOUNT,7
milik masalah daftar,registration_problems,ACCOUNT,3
bantu lapor masalah daftar,registration_problems,ACCOUNT,4
masalah daftar akun,registration_problems,ACCOUNT,3
mungkin lapor masalah daftar,registration_problems,ACCOUNT,4
tidak tahu apa perlu laku informasi masalah daftar,registration_problems,ACCOUNT,8
informasi masalah daftar,registration_problems,ACCOUNT,3
tidak tahu apa perlu laku lapor salah daftar,registration_problems,ACCOUNT,8
informasi masalah daftar akun,registration_problems,ACCOUNT,4
tidak tahu bagaimana informasi salah daftar,registration_problems,ACCOUNT,6
ingin dukung registrasi online,registration_problems,ACCOUNT,4
butuh dukung daftar,registration_problems,ACCOUNT,3
informasi masalah daftar online,registration_problems,ACCOUNT,4
ingin bantu beri tahu salah daftar,registration_problems,ACCOUNT,6
tidak tahu bagaimana bisa lapor masalah daftar,registration_problems,ACCOUNT,7
perlu bantu lapor masalah daftar,registration_problems,ACCOUNT,5
harus beri tahu masalah daftar,registration_problems,ACCOUNT,5
tidak daftar bantu lapor masalah daftar sial,registration_problems,ACCOUNT,7
tidak daftar perlu bantu lapor masalah,registration_problems,ACCOUNT,6
harus informasi masalah daftar,registration_problems,ACCOUNT,4
milik masalah daftar online,registration_problems,ACCOUNT,4
apa harus laku informasi masalah daftar,registration_problems,ACCOUNT,6
dukung daftar,registration_problems,ACCOUNT,2
milik salah daftar akun,registration_problems,ACCOUNT,4
butuh bantu informasi masalah daftar,registration_problems,ACCOUNT,5
tidak daftar bantu informasi masalah daftar,registration_problems,ACCOUNT,6
salah daftar,registration_problems,ACCOUNT,2
tidak tahu bagaimana lapor masalah daftar,registration_problems,ACCOUNT,6
beri tahu masalah daftar,registration_problems,ACCOUNT,4
bantu beri tahu masalah daftar darah,registration_problems,ACCOUNT,6
ingin bantu daftar guna,registration_problems,ACCOUNT,4
harus lapor masalah daftar,registration_problems,ACCOUNT,4
bantu informasi masalah daftar,registration_problems,ACCOUNT,4
milik salah daftar online,registration_problems,ACCOUNT,4
tidak tahu buat apa lapor salah daftar sial,registration_problems,ACCOUNT,8
informasi salah daftar,registration_problems,ACCOUNT,3
tidak tahu apa harus laku beri tahu masalah daftar,registration_problems,ACCOUNT,9
mana dapat lapor masalah daftar,registration_problems,ACCOUNT,5
salah daftar online,registration_problems,ACCOUNT,3
ingin lapor masalah daftar,registration_problems,ACCOUNT,4
tidak tahu apa perlu laku lapor masalah daftar,registration_problems,ACCOUNT,8
tidak daftar ingin lapor salah daftar,registration_problems,ACCOUNT,6
tidak daftar dapat bantu lapor salah daftar,registration_problems,ACCOUNT,7
tidak beri tahu salah registrasi,registration_problems,ACCOUNT,5
mungkin informasi masalah daftar,registration_problems,ACCOUNT,4
butuh bantu lapor daftar masalah,registration_problems,ACCOUNT,5
beri tahu salah daftar,registration_problems,ACCOUNT,4
tanya daftar,registration_problems,ACCOUNT,2
tidak daftar ingin lapor masalah daftar,registration_problems,ACCOUNT,6
punya tanya daftar,registration_problems,ACCOUNT,3
tanya daftar online,registration_problems,ACCOUNT,3
mana dapat beri tahu salah daftar,registration_problems,ACCOUNT,6
apa harus laku lapor masalah daftar,registration_problems,ACCOUNT,6
tidak daftar butuh bantu beri tahu masalah daftar,registration_problems,ACCOUNT,8
bantu untuk lapor masalah daftar,registration_problems,ACCOUNT,5
apa perlu laku lapor masalah daftar,registration_problems,ACCOUNT,6
tidak tahu bagaimana bisa beri tahu masalah daftar,registration_problems,ACCOUNT,8
bisa register harus beri tahu masalah daftar,registration_problems,ACCOUNT,7
butuh bantu kena daftar online,registration_problems,ACCOUNT,5
tidak daftar perlu bantu lapor masalah daftar,registration_problems,ACCOUNT,7
punya tanya daftar akun sial,registration_problems,ACCOUNT,5
tidak beri tahu salah daftar,registration_problems,ACCOUNT,5
coba lapor salah daftar sial,registration_problems,ACCOUNT,5
harus beri tahu salah daftar,registration_problems,ACCOUNT,5
harus lapor salah daftar,registration_problems,ACCOUNT,4
ingin bantu anggap daftar,registration_problems,ACCOUNT,4
ingin bantu kena daftar akun,registration_problems,ACCOUNT,5
lapor salah daftar online,registration_problems,ACCOUNT,4
dukung daftar guna,registration_problems,ACCOUNT,3
tidak tahu apa harus laku lapor masalah daftar,registration_problems,ACCOUNT,8
bantu untuk beri tahu salah daftar,registration_problems,ACCOUNT,6
tidak informasi salah daftar,registration_problems,ACCOUNT,4
tidak tahu cara tinggal ulas layan,review,FEEDBACK,6
tidak tahu bagaimana bisa kirim umpan balik,review,FEEDBACK,7
bantu kirim umpan balik untuk layan,review,FEEDBACK,6
butuh bantu tinggal ulas,review,FEEDBACK,4
coba tinggal ulas,review,FEEDBACK,3
apa perlu laku tinggal ulas layan,review,FEEDBACK,6
bantu kirim umpan balik,review,FEEDBACK,4
bisa kirim beberapa umpan balik suatu layan,review,FEEDBACK,7
tidak tahu bagaimana bisa kirim umpan balik suatu layan,review,FEEDBACK,9
apa perlu laku tinggal ulas,review,FEEDBACK,5
bisa bantu kirim umpan balik suatu layan,review,FEEDBACK,7
harus tinggal ulas,review,FEEDBACK,3
bagaimana cara tinggal ulas,review,FEEDBACK,4
tidak tahu bagaimana bisa tinggal ulas usaha,review,FEEDBACK,7
bantu tinggal ulas usaha,review,FEEDBACK,4
butuh bantu tinggal ulas usaha,review,FEEDBACK,5
mana kirim umpan balik usaha,review,FEEDBACK,5
bantu untuk kirim umpan balik,review,FEEDBACK,5
ada email kirim umpan balik,review,FEEDBACK,5
apa perlu laku tinggal ulas usaha,review,FEEDBACK,6
bisa kirim umpan balik,review,FEEDBACK,4
telepon tinggal ulas layan,review,FEEDBACK,4
tidak tahu apa harus laku kirim umpan balik,review,FEEDBACK,8
tidak tahu bagaimana bisa tinggal ulas layan,review,FEEDBACK,7
bisa tinggal ulas,review,FEEDBACK,3
bisa bantu kirim umpan balik,review,FEEDBACK,5
ingin bantu kirim beberapa umpan balik usaha,review,FEEDBACK,7
bantu kirim beberapa umpan balik usaha,review,FEEDBACK,6
bantu tinggal ulas layan,review,FEEDBACK,4
mana bisa kirim umpan balik,review,FEEDBACK,5
bagaimana cara kirim umpan balik layan,review,FEEDBACK,6
butuh bantu kirim umpan balik,review,FEEDBACK,5
telepon tinggal ulas,review,FEEDBACK,3
ingin tinggal ulas layan,review,FEEDBACK,4
mana bisa tinggal ulas usaha,review,FEEDBACK,5
tidak tahu cara tinggal ulas,review,FEEDBACK,5
bagaimana bisa kirim umpan balik,review,FEEDBACK,5
bantu tinggal ulas,review,FEEDBACK,3
mungkin kirim umpan balik,review,FEEDBACK,4
butuh bantu kirim umpan balik usaha,review,FEEDBACK,6
tidak tahu cara tinggal ulas usaha,review,FEEDBACK,6
bisa bantu tinggal ulas usaha,review,FEEDBACK,5
tinggal ulas layan,review,FEEDBACK,3
bagaimana cara kirim umpan balik usaha,review,FEEDBACK,6
bisa kirim umpan balik usaha,review,FEEDBACK,5
tinjau layan,review,FEEDBACK,2
bagaimana cara tinggal ulas layan,review,FEEDBACK,5
bisa bantu tinggal ulas,review,FEEDBACK,4
tinggal ulas usaha,review,FEEDBACK,3
anda milik bagi kirim umpan balik,review,FEEDBACK,6
tidak tahu buat apa tinggal ulas,review,FEEDBACK,6
tidak tahu buat apa tinggal ulas layan,review,FEEDBACK,7
bisa bantu tinggal ulas layan,review,FEEDBACK,5
perlu tinggal ulas usaha,review,FEEDBACK,4
ingin bantu tinggal ulas layan,review,FEEDBACK,5
perlu kirim umpan balik,review,FEEDBACK,4
tidak tahu bagaimana bisa tinggal ulas,review,FEEDBACK,6
bisa kirim umpan balik layan,review,FEEDBACK,5
coba kirim beberapa umpan balik usaha,review,FEEDBACK,6
milik bagi kirim ulas usaha anda,review,FEEDBACK,6
ulas usaha,review,FEEDBACK,2
ingin bantu kirim umpan balik,review,FEEDBACK,5
harus tinggal ulas usaha,review,FEEDBACK,4
mana kirim umpan balik,review,FEEDBACK,4
mana tinggal ulas usaha,review,FEEDBACK,4
coba kirim umpan balik,review,FEEDBACK,4
mungkin tinggal ulas usaha,review,FEEDBACK,4
ingin tinggal ulas usaha,review,FEEDBACK,4
ingin bantu kirim umpan balik suatu layan,review,FEEDBACK,7
mana kirim umpan balik layan,review,FEEDBACK,5
coba tinggal ulas layan,review,FEEDBACK,4
ingin kirim umpan balik usaha,review,FEEDBACK,5
bisa bantu kirim umpan balik layan,review,FEEDBACK,6
bantu kirim beberapa umpan balik suatu layan,review,FEEDBACK,7
ingin tinggal ulas,review,FEEDBACK,3
ada bagi kirim umpan balik layan,review,FEEDBACK,6
milik email kirim ulas usaha anda,review,FEEDBACK,6
ada email kirim ulas layan,review,FEEDBACK,5
mana harus kirim beberapa umpan balik suatu layan,review,FEEDBACK,8
ada bagi kirim ulas usaha,review,FEEDBACK,5
ingin bantu kirim umpan balik usaha,review,FEEDBACK,6
ada bagi kirim ulas layan,review,FEEDBACK,5
ada bagi kirim umpan balik,review,FEEDBACK,5
ulas produk,review,FEEDBACK,2
apa harus laku kirim umpan balik suatu layan,review,FEEDBACK,8
mungkin tinggal ulas layan,review,FEEDBACK,4
tinggal ulas,review,FEEDBACK,2
ada bagi kirim umpan balik usaha,review,FEEDBACK,6
bagaimana bisa tinggal ulas layan,review,FEEDBACK,5
tidak tahu cara kirim umpan balik,review,FEEDBACK,6
mana bisa tinggal ulas layan,review,FEEDBACK,5
apa harus laku tinggal ulas,review,FEEDBACK,5
coba kirim beberapa umpan balik suatu layan,review,FEEDBACK,7
bisa bantu kirim umpan balik usaha,review,FEEDBACK,6
butuh bantu tinggal ulas layan,review,FEEDBACK,5
ada email kirim ulas,review,FEEDBACK,4
coba tinggal ulas usaha,review,FEEDBACK,4
mana bisa tinggal ulas,review,FEEDBACK,4
bisa tinggal ulas usaha,review,FEEDBACK,4
perlu tinggal ulas layan,review,FEEDBACK,4
kirim tinjau produk,review,FEEDBACK,3
bagaimana cara kirim umpan balik suatu layan,review,FEEDBACK,7
anda milik bagi kirim umpan balik suatu layan,review,FEEDBACK,8
tidak tahu cara kirim umpan balik suatu layan,review,FEEDBACK,8
bisa tinggal ulas layan,review,FEEDBACK,4
apa harus laku tinggal ulas layan,review,FEEDBACK,6
ulas layan,review,FEEDBACK,2
apa harus laku tinggal ulas usaha,review,FEEDBACK,6
tidak tahu cara kirim umpan balik usaha,review,FEEDBACK,7
perlu kirim beberapa umpan balik suatu layan,review,FEEDBACK,7
anda milik bagi kirim ulas,review,FEEDBACK,5
harus kirim umpan balik,review,FEEDBACK,4
mana harus kirim umpan balik layan,review,FEEDBACK,6
mana dapat kirim umpan balik layan,review,FEEDBACK,6
ingin bantu tinggal ulas,review,FEEDBACK,4
telepon kirim beberapa umpan balik suatu layan,review,FEEDBACK,7
bantu kirim umpan balik untuk usaha,review,FEEDBACK,6
ingin bantu kirim umpan balik layan,review,FEEDBACK,6
tidak tahu apa perlu laku kirim umpan balik,review,FEEDBACK,8
tidak tahu buat apa tinggal ulas usaha,review,FEEDBACK,7
ingin bantu kirim beberapa umpan balik layan,review,FEEDBACK,7
mungkin kirim beberapa umpan balik suatu layan,review,FEEDBACK,7
bantu kirim beberapa umpan balik layan,review,FEEDBACK,6
bagaimana cara kirim umpan balik,review,FEEDBACK,5
ingin bantu kirim beberapa umpan balik suatu layan,review,FEEDBACK,8
tidak tahu bagaimana dapat kirim umpan balik suatu layan,review,FEEDBACK,9
tidak tahu apa perlu laku tinggal ulas,review,FEEDBACK,7
bisa kirim umpan balik suatu layan,review,FEEDBACK,6
telepon kirim umpan balik layan,review,FEEDBACK,5
mana tinggal ulas layan,review,FEEDBACK,4
bagaimana bisa kirim beberapa umpan balik suatu layan,review,FEEDBACK,8
perlu tinggal ulas,review,FEEDBACK,3
butuh bantu kirim beberapa umpan balik suatu layan,review,FEEDBACK,8
bagaimana cara tinggal ulas usaha,review,FEEDBACK,5
bantu kirim umpan balik usaha,review,FEEDBACK,5
mungkin kirim beberapa umpan balik layan,review,FEEDBACK,6
bantu kirim umpan balik layan,review,FEEDBACK,5
harus kirim beberapa umpan balik layan,review,FEEDBACK,6
tidak tahu apa harus laku tinggal ulas,review,FEEDBACK,7
mungkin tinggal ulas,review,FEEDBACK,3
ingin bantu tinggal ulas usaha,review,FEEDBACK,5
telepon tinggal ulas usaha,review,FEEDBACK,4
anda milik email kirim umpan balik,review,FEEDBACK,6
butuh bantu kirim beberapa umpan balik layan,review,FEEDBACK,7
bisa bantu atur alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,5
perlu bantu atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,6
coba atur alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,4
tidak tahu bagaimana bisa atur alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,7
bantu atur alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,4
bisa bantu atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,6
harus siap alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,4
milik masalah atur alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,5
bisa bantu siap alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,5
tidak atur alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,4
bagaimana cara atur alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,6
mana dapat atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,6
bagaimana cara atur alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,5
perlu bantu siap alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,6
tidak tahu bagaimana bisa atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,8
perlu bantu siap alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,5
bantu atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,5
butuh bantu atur alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,6
harus atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,5
masalah siap alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,4
ingin siap alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,4
ingin atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,5
mana bisa atur alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,5
bagaimana cara atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,6
tidak tahu buat apa atur alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,8
tidak tahu cara atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,7
mana atur alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,4
tidak atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,5
ingin bantu siap alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,6
mana harus siap alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,5
bantu atur alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,5
bagaimana bisa atur alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,6
tidak tahu cara atur alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,7
ingin atur alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,4
tidak tahu bagaimana bisa atur alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,8
bantu siap alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,4
mana harus siap alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,6
bisa bantu atur alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,6
alamat kirim baru valid,set_up_shipping_address,SHIPPING_ADDRESS,4
ingin bantu atur alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,6
milik masalah atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,6
tidak tahu buat apa atur alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,7
atur bantu alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,5
masalah setel alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,4
ingin bantu atur alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,5
saya dapat atur alamat kirim baru valid,set_up_shipping_address,SHIPPING_ADDRESS,7
tetap alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,4
ingin atur alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,5
ingin bantu atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,6
mungkin atur alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,4
bisa siap alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,5
masalah siap alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,5
masalah alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,3
perlu atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,5
siap alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,4
mana harus atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,6
mungkin atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,5
saya dapat atur alamat kirim yang laku,set_up_shipping_address,SHIPPING_ADDRESS,7
apa harus laku atur alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,6
alamat kirim baru tidak laku,set_up_shipping_address,SHIPPING_ADDRESS,5
bantu untuk atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,6
perlu bantu atur alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,6
milik masalah siap alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,6
atur masalah alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,5
atur bantu alamat kirim lain,set_up_shipping_address,SHIPPING_ADDRESS,5
bantu siap alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,5
masalah siap alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,5
atur masalah alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,5
bisa bantu siap alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,6
apa harus laku atur alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,7
ingin siap alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,5
perlu bantu atur alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,5
bisa atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,5
perlu bantu siap alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,6
butuh bantu atur alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,5
butuh bantu atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,6
mungkin atur alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,5
harus atur alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,4
saya dapat atur alamat kirim beda valid,set_up_shipping_address,SHIPPING_ADDRESS,7
coba atur alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,5
milik masalah siap alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,5
milik masalah atur alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,6
ingin bantu siap alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,5
milik masalah siap alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,6
mana atur alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,5
tidak tahu cara atur alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,6
bisa atur alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,5
bisa atur alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,4
alamat kirim valid,set_up_shipping_address,SHIPPING_ADDRESS,3
apa harus laku atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,7
bisa bantu siap alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,6
apa perlu laku atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,7
atur bantu alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,5
ingin bantu siap alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,6
bagaimana bisa atur alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,5
mana bisa atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,6
bisa siap alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,4
coba atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,5
bantu siap alamat kirim lain,set_up_shipping_address,SHIPPING_ADDRESS,5
perlu atur alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,4
apa perlu laku atur alamat kirim,set_up_shipping_address,SHIPPING_ADDRESS,6
bantu untuk atur alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,6
bantu siap alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,5
masalah atur alamat kirim lain,set_up_shipping_address,SHIPPING_ADDRESS,5
saya dapat atur alamat kirim yang valid,set_up_shipping_address,SHIPPING_ADDRESS,7
bisa siap alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,5
bantu atur alamat kirim lain,set_up_shipping_address,SHIPPING_ADDRESS,5
tidak atur alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,5
atur alamat kirim lain,set_up_shipping_address,SHIPPING_ADDRESS,4
bagaimana bisa atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,6
harus siap alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,5
perlu atur alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,5
mana atur alamat kirim beda,set_up_shipping_address,SHIPPING_ADDRESS,5
harus atur alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,5
mana bisa atur alamat kirim baru,set_up_shipping_address,SHIPPING_ADDRESS,6
perlu bantu ubah profil baru,switch_account,ACCOUNT,5
butuh bantu guna akun,switch_account,ACCOUNT,4
perlu alih guna,switch_account,ACCOUNT,3
ingin guna akun,switch_account,ACCOUNT,3
mana bisa alih akun,switch_account,ACCOUNT,4
mungkin alih profil baru,switch_account,ACCOUNT,4
bantu guna profil beda,switch_account,ACCOUNT,4
bagaimana cara ubah profil guna,switch_account,ACCOUNT,5
alih guna,switch_account,ACCOUNT,2
coba alih akun guna baru,switch_account,ACCOUNT,5
apa harus laku guna akun,switch_account,ACCOUNT,5
tidak tahu bagaimana bisa alih akun,switch_account,ACCOUNT,6
ingin bantu guna profil guna beda,switch_account,ACCOUNT,6
bisa bantu alih guna,switch_account,ACCOUNT,4
butuh bantu ubah profil guna baru tomy,switch_account,ACCOUNT,7
bantu guna akun,switch_account,ACCOUNT,3
perlu guna akun,switch_account,ACCOUNT,3
tidak tahu cara alih akun guna,switch_account,ACCOUNT,6
tempat alih akun guna baru,switch_account,ACCOUNT,5
perlu bantu guna profil baru,switch_account,ACCOUNT,5
apa harus laku alih profil beda,switch_account,ACCOUNT,6
guna akun,switch_account,ACCOUNT,2
bagaimana bisa ubah akun,switch_account,ACCOUNT,4
bantu alih akun,switch_account,ACCOUNT,3
mungkin alih akun,switch_account,ACCOUNT,3
tidak tahu buat apa alih akun guna baru,switch_account,ACCOUNT,8
bisa bantu alih akun,switch_account,ACCOUNT,4
mungkin alih guna,switch_account,ACCOUNT,3
bagaimana bisa guna akun,switch_account,ACCOUNT,4
tidak ubah akun guna baru,switch_account,ACCOUNT,5
bantu guna profil guna baru,switch_account,ACCOUNT,5
ubah profil baru,switch_account,ACCOUNT,3
bagaimana cara guna profil baru,switch_account,ACCOUNT,5
tidak tahu apa perlu laku alih akun,switch_account,ACCOUNT,7
bisa bantu guna akun,switch_account,ACCOUNT,4
perlu alih akun,switch_account,ACCOUNT,3
ingin bantu guna akun,switch_account,ACCOUNT,4
harus alih guna,switch_account,ACCOUNT,3
bantu untuk alih guna,switch_account,ACCOUNT,4
butuh bantu alih akun,switch_account,ACCOUNT,4
bantu guna profil guna,switch_account,ACCOUNT,4
perlu bantu alih profil guna,switch_account,ACCOUNT,5
apa harus laku guna akun baru,switch_account,ACCOUNT,6
bantu ubah profil beda,switch_account,ACCOUNT,4
tidak butuh guna saya guna baru,switch_account,ACCOUNT,6
